Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4
18172,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008197,CL_0000737,Prodcom Elements,CI_0021514
67687,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008197,CL_0000737,Prodcom Elements,CI_0021515
509093,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008197,CL_0000737,Prodcom Elements,CI_0021516
4539038,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008197,CL_0000737,Prodcom Elements,CI_0021517
5443389,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008219,CL_0000737,Prodcom Elements,CI_0021509
32760,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008219,CL_0000737,Prodcom Elements,CI_0021510
5476148,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008219,CL_0000737,Prodcom Elements,CI_0021511
190916,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008219,CL_0000737,Prodcom Elements,CI_0021512
444,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008219,CL_0000737,Prodcom Elements,CI_0021513
3001,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008219,CL_0000737,Prodcom Elements,CI_0021514
4608,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008219,CL_0000737,Prodcom Elements,CI_0021515
87333,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008219,CL_0000737,Prodcom Elements,CI_0021516
5762450,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008219,CL_0000737,Prodcom Elements,CI_0021517
2097829,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000845,CL_0000737,Prodcom Elements,CI_0021509
126350,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000845,CL_0000737,Prodcom Elements,CI_0021510
2224180,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000845,CL_0000737,Prodcom Elements,CI_0021511
163003,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000845,CL_0000737,Prodcom Elements,CI_0021512
12731,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000845,CL_0000737,Prodcom Elements,CI_0021513
5067,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000845,CL_0000737,Prodcom Elements,CI_0021514
26502,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000845,CL_0000737,Prodcom Elements,CI_0021515
303970,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000845,CL_0000737,Prodcom Elements,CI_0021516
2735453,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000845,CL_0000737,Prodcom Elements,CI_0021517
1124354,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000883,CL_0000737,Prodcom Elements,CI_0021509
87506,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000883,CL_0000737,Prodcom Elements,CI_0021510
1211860,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000883,CL_0000737,Prodcom Elements,CI_0021511
2059,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000883,CL_0000737,Prodcom Elements,CI_0021514
-327835,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0000883,CL_0000737,Prodcom Elements,CI_0021516
