Observation,Data_Marking,Value_Domain,Observation_Type,Observation_Type_Value,Unit_Of_Measure,Geographic_Area,Time,Time_Type,CDID,Dimension_1,Dimension_Value_1,Dimension_2,Dimension_Value_2
36929,,,,,,,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,UK manufacturer sales LABEL
2229725,,,,,,,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,All other income
2266654,,,,,,,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Total UK manufacturer sales of products in this product group
3404,,,,,,,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Merchanted goods
4333,,,,,,,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Work done
766,,,,,,,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Waste Products
96526,,,,,,,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Non production income
-1917072,,,,,,,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Net carry in/carry out
454610,,,,,,,2014,Year,,NACE,08 - Other mining and quarrying,Prodcom Elements,Total turnover of businesses classified to this industry
19617,,,,,,,2014,Year,,NACE,0891 - Mining of chemical and fertiliser minerals,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
0,,,,,,,2014,Year,,NACE,0891 - Mining of chemical and fertiliser minerals,Prodcom Elements,Waste Products
133127,,,,,,,2014,Year,,NACE,0891 - Mining of chemical and fertiliser minerals,Prodcom Elements,Net carry in/carry out
17312,,,,,,,2014,Year,,NACE,0899 - Other mining and quarrying n.e.c,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
3176,,,,,,,2014,Year,,NACE,0899 - Other mining and quarrying n.e.c,Prodcom Elements,Work done
0,,,,,,,2014,Year,,NACE,0899 - Other mining and quarrying n.e.c,Prodcom Elements,Waste Products
2071,,,,,,,2014,Year,,NACE,0899 - Other mining and quarrying n.e.c,Prodcom Elements,Non production income
-22730,,,,,,,2014,Year,,NACE,0899 - Other mining and quarrying n.e.c,Prodcom Elements,Net carry in/carry out
20895,,,,,,,2014,Year,,NACE,0899 - Other mining and quarrying n.e.c,Prodcom Elements,Total turnover of businesses classified to this industry
62831139,,,,,,,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
5014859,,,,,,,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,All other income
67845998,,,,,,,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,Total UK manufacturer sales of products in this product group
6203387,,,,,,,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,Merchanted goods
709320,,,,,,,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,Work done
214612,,,,,,,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,Waste Products
710740,,,,,,,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,Non production income
1377125,,,,,,,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,Net carry in/carry out
77061182,,,,,,,2014,Year,,NACE,10 - Manufacture of food products,Prodcom Elements,Total turnover of businesses classified to this industry
6588782,,,,,,,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,UK manufacturer sales of individual products listed in this product group
6988,,,,,,,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,All other income
6595769,,,,,,,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,Total UK manufacturer sales of products in this product group
73077,,,,,,,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,Merchanted goods
40514,,,,,,,2014,Year,,NACE,1011 - Processing and preserving of meat,Prodcom Elements,Work done
